code,name,revenue,net_profit,roe,revenue_growth,gross_margin,debt_ratio,current_ratio,asset_turnover
600549,厦门钨业,462.6458,23.0937,13.9900,30.7913,17.8975,52.4086,1.2785,0.9048
2648,卫星化学,460.6789,53.1069,16.8000,0.9191,22.3148,51.7374,0.9188,0.6683
688819,天能股份,457.9236,15.9146,9.7000,1.6664,14.3546,60.9869,1.2433,1.0312
600660,福耀玻璃,457.8744,93.1230,25.5600,16.6510,37.2700,46.4018,1.5390,0.6869
603259,药明康德,454.5617,191.5058,28.5600,15.8372,47.6387,22.1810,3.2065,0.4956
600861,北京人力,451.8523,11.6984,16.9900,5.0047,5.5126,50.1395,1.8940,2.7292
300124,汇川技术,451.0484,50.5000,16.3400,21.7702,28.9546,47.9280,1.4387,0.7021
2074,国轩高科,450.7046,23.8327,8.6500,27.3471,16.1749,70.9889,0.8130,0.3835
603049,中策橡胶,449.5623,41.4747,19.3200,14.5241,19.6579,52.4863,1.0768,0.9265
600760,中航沈飞,446.5578,35.1776,18.3500,4.2453,13.6958,66.8754,1.3712,0.6422
963,华东医药,436.1201,34.1434,14.2800,4.0718,32.3593,35.5218,1.6216,1.1340
960,锡业股份,435.3458,19.6618,9.7700,3.7213,11.3748,42.8983,1.3068,1.1325
27,深圳能源,434.2962,21.0334,4.6600,5.3769,20.6711,61.9918,1.0727,0.2606
601816,京沪高铁,430.6204,131.7191,6.4400,2.1466,46.8813,20.1251,1.8325,0.1504
2110,三钢闽光,430.2861,0.2710,0.1400,-6.5782,6.6700,60.6919,0.5505,0.8455
603995,甬金股份,426.4629,5.4869,9.4400,1.8763,4.8815,54.0569,1.1545,2.8390
600111,北方稀土,425.6308,22.5127,9.5600,29.1108,12.2073,35.8851,2.7278,0.9104
601118,海南橡胶,422.3715,-1.0303,-1.0400,0.5547,2.5153,70.2893,0.9233,1.2084
603341,龙旗科技,421.2481,5.8512,10.3500,-9.1795,8.7815,77.6653,1.0945,1.6068
600021,上海电力,418.5835,27.6738,12.4100,-2.0488,25.7550,69.3152,0.7307,0.2114
59,华锦股份,417.5648,-17.6329,-16.6600,20.6970,12.1026,58.2881,1.2685,1.5785
600196,复星医药,416.6161,33.7056,7.0300,1.4474,50.0737,48.4895,0.9285,0.3508
600066,宇通客车,414.2617,55.5448,38.0300,11.3081,24.1411,51.9728,1.8071,1.2719
900948,伊泰B股,414.0468,50.8461,10.6200,-20.3267,31.3428,44.2118,1.4522,0.3996
601717,中创智领,413.8513,42.9339,18.8800,11.6946,22.6581,51.4834,1.6972,0.8284
933,神火股份,412.4076,40.0536,17.4900,7.4743,23.3586,42.1880,0.7305,0.8293
600985,淮北矿业,412.3802,15.0599,3.5900,-37.3996,18.4363,48.7861,0.5050,0.4666
538,云南白药,411.8700,51.5349,13.0200,2.8818,29.5095,26.0207,2.6403,0.7685
768,中航西飞,410.1373,11.5124,6.3200,-5.0954,6.7774,71.4717,1.0951,0.5409
1399,惠科股份,408.9732,38.0120,16.5800,1.5280,19.2137,62.8237,1.2093,0.4056
858,五粮液,405.2851,89.5426,6.8900,-54.5518,77.5418,35.6891,2.4461,0.2143
688472,阿特斯,402.5574,10.1577,4.4100,-12.8003,10.3653,63.6517,1.2496,0.6206
2384,东山精密,401.2486,13.8607,6.8900,9.1228,14.0865,63.9807,1.0061,0.7552
600018,上港集团,396.1150,135.6459,9.8790,3.9209,36.1224,29.6768,1.7040,0.1826
2091,江苏国泰,394.3958,12.9392,8.1000,1.2408,16.2179,51.4176,1.9259,0.8562
2371,北方华创,393.5311,55.2199,16.4100,30.8505,40.1037,51.0832,2.2659,0.5040
2078,太阳纸业,391.9156,32.5062,10.9300,-3.7689,15.5854,47.7512,0.7251,0.7048
200550,江铃B,391.6991,11.8747,10.3400,2.0737,13.5777,66.2211,1.1317,1.2133
550,江铃汽车,391.6991,11.8747,10.3400,2.0737,13.5777,66.2211,1.1317,1.2133
2938,鹏鼎控股,391.4701,37.3784,11.4200,11.4018,21.5000,28.8625,1.8314,0.8383
600930,华电新能,389.8039,72.6287,7.1800,14.7570,39.6083,70.3519,0.5141,0.0810
600584,长电科技,388.7135,15.6524,5.5600,8.0910,14.1474,43.6425,1.3012,0.7095
600575,淮河能源,388.2466,16.9755,7.4300,-0.6561,9.5617,49.1657,0.7826,0.7975
600809,山西汾酒,387.1826,122.4633,33.4800,7.5179,74.8525,28.7429,2.8606,0.7051
300308,中际旭创,382.3994,107.9725,43.8400,60.2535,42.0356,30.1790,2.6893,1.0313
688235,百济神州,382.2500,14.6071,5.3300,40.4610,87.6137,46.5331,3.4657,0.7634
601615,明阳智能,380.9497,6.5987,2.4900,40.2700,10.3223,71.7114,1.1534,0.4149
2602,世纪华通,378.9832,56.0517,20.2700,67.5457,69.9457,29.7306,1.8336,0.9093
603071,物产环能,373.0363,6.3829,11.3200,-16.5641,4.9957,45.5406,1.7433,3.0481
983,山西焦煤,371.5486,12.0077,3.3300,-17.9630,30.5231,57.1035,0.7710,0.3396
2340,格林美,371.2358,15.8033,7.9100,11.8186,14.7082,65.8037,1.0099,0.5268
778,新兴铸管,370.2235,9.4716,3.6600,2.2883,7.6948,44.0448,1.1754,0.7029
601058,赛轮轮胎,367.9243,35.2249,17.0400,15.6908,24.6824,50.0600,1.1272,0.8453
600655,豫园股份,363.7330,-48.9666,-14.9680,-22.4854,13.3383,71.2283,1.1146,0.3088
600320,振华重工,362.6046,7.3184,4.6900,5.2357,13.7403,77.4130,0.9207,0.4296
900947,振华B股,362.6046,7.3184,4.6900,5.2357,13.7403,77.4130,0.9207,0.4296
50,深天马A,362.2654,1.6738,0.6100,8.1573,16.2442,61.5906,0.7500,0.4585
600383,金地集团,358.5814,-132.8134,-25.3700,-52.4073,13.0632,64.2527,1.3898,0.1361
600782,新钢股份,358.0902,0.4445,0.1700,-14.3398,3.5222,42.8703,0.9958,0.7224
603609,禾丰股份,357.6152,0.5252,0.7900,9.8824,5.7850,56.2796,1.1618,2.1633
600335,国机汽车,356.0212,4.2143,3.6500,-15.2829,8.1352,68.1101,1.2406,0.9944
2608,江苏国信,355.3121,34.6510,10.1700,-3.7900,13.6302,51.0856,0.9481,0.3603
600578,京能电力,354.2572,35.2954,14.4600,0.0056,21.2800,64.2521,0.4212,0.3580
600056,中国医药,353.6162,4.7323,3.9200,0.3354,10.5023,61.0436,1.4235,0.9663
600801,华新建材,353.4828,28.5333,9.0500,3.3051,30.2194,53.8697,0.9713,0.4695
300475,香农芯创,352.5089,5.4459,16.9200,45.2381,3.9748,65.5842,1.3434,3.7765
601677,明泰铝业,351.3528,19.5996,10.8100,8.7077,7.0756,28.4427,2.2317,1.3932
